paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance
doi:10.1038/s42256-023-00626-4	10.1038/s42256-023-00626-4		2023	Parameter-efficient fine-tuning of large-scale pre-trained language models	[llm_xai] Nature Machine Intelligence	LLM training; parameter-efficient fine-tuning (delta-tuning) survey/analysis (background)		Survey and categorize parameter-efficient adaptation methods for large pre-trained language models.	Pre-trained language models + delta-tuning methods (adapters, prefix/prompt tuning, LoRA-like approaches)	n/a (methods survey/analysis)	None (not explainability; training efficiency).		Secondary/methods analysis with empirical comparisons across benchmarks (in paper) to illustrate tradeoffs.						
doi:10.1038/s41598-023-32248-6	10.1038/s41598-023-32248-6		2023	Overlap in meaning is a stronger predictor of semantic activation in GPT-3 than in humans	[llm_xai] Scientific Reports	Interpretability/cognitive probing; semantic memory; comparing GPT-3 to humans		Probe GPT-3 semantic activation patterns using lexical decision task analogs; compare to human semantic priming data.	GPT-3 (and other LMs mentioned) using embedding cosine similarity as activation proxy	Word pairs (semantic priming datasets) + embedding representations	No explanations; uses probing/analysis to interpret internal representations via activation proxies.		Quantitative comparison of GPT-3 embedding-based activation against human semantic priming patterns across multiple analyses and association types.						
doi:10.1038/s41586-023-06924-6	10.1038/s41586-023-06924-6		2023	Mathematical discoveries from program search with large language models	[llm_xai] Nature	Scientific discovery; LLM+search; interpretability via program search (background)		Use LLMs paired with evaluators to discover better programs/heuristics for open problems (cap set; online bin packing).	FunSearch (pre-trained LLM + evolutionary search + systematic evaluator)	Programs/code as candidates; evaluator feedback scores	Not an explanation method; interpretability comes from producing explicit programs/heuristics that can be inspected and refined by experts.		Empirical search experiments on mathematical/algorithmic benchmarks; compares achieved results to best-known baselines.						
doi:10.1038/s41586-023-06291-2	10.1038/s41586-023-06291-2		2023	Large language models encode clinical knowledge	[llm_xai] Nature	Clinical QA; medical knowledge; LLM evaluation (Med-PaLM/Flan-based) (background)		Evaluate whether large language models encode clinical knowledge and how they perform on medical QA-style tasks.	Large language models for medical QA (paper discusses LLMs; specific models per paper)	Medical questions/answers; clinical knowledge tasks	Primarily capability/evaluation; may analyze rationales/calibration/uncertainty depending on task setup (not an XAI method contribution).		Benchmark-style evaluation across multiple medical QA datasets and clinician-judged criteria (per paper).						
doi:10.2196/49324	10.2196/49324		2023	Large Language Models for Therapy Recommendations Across 3 Clinical Specialties: Comparative Study	[llm_xai] Journal of Medical Internet Research	Healthcare; LLM evaluation; clinical recommendations; explanation quality (secondary)		Evaluate multiple LLMs on generating therapy recommendations across three clinical specialties.	Claude-instant-v1.0; GPT-3.5-Turbo; Command-xlarge-nightly; Bloomz (as evaluated)	Clinical prompts/cases spanning ophthalmology, orthopedics, dermatology	Model outputs include natural-language justifications; evaluation focuses on correctness/safety rather than a dedicated XAI method.		Comparative study across specialties; expert evaluation of response quality/accuracy/safety (per paper).						
doi:10.3389/feduc.2023.1272229	10.3389/feduc.2023.1272229		2023	Is GPT-4 a reliable rater? Evaluating consistency in GPT-4's text ratings	[llm_xai] Frontiers in Education	Education; LLM evaluation; reliability/consistency of ratings		Assess whether GPT-4 provides consistent/ reliable ratings of texts (as an automated rater).	GPT-4	Text responses to be rated + rating prompts	Not an explanation method; focuses on reliability/consistency properties of LLM judgments.		Empirical study using repeated ratings and statistical reliability analyses (e.g., agreement/consistency metrics).						
doi:10.2196/45312	10.2196/45312		2023	How Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education and Knowledge Assessment	[llm_xai] JMIR Medical Education	Medical education; LLM capability evaluation; interpretability of responses		Evaluate ChatGPT performance on USMLE Step 1/2 questions and analyze interpretability of responses.	ChatGPT (175B parameter model per paper)	USMLE-style questions; generated answers/rationales	Free-text rationales; interpretability analysis of responses (structure/clarity/justification).		Benchmark evaluation on exam questions with scoring of correctness plus interpretability-oriented analysis.						
doi:10.1007/s40593-023-00340-7	10.1007/s40593-023-00340-7		2023	GPT-3-Driven Pedagogical Agents to Train Children’s Curious Question-Asking Skills	[llm_xai] International Journal of Artificial Intelligence in Education	Education; pedagogical agents; LLM-generated prompts (out-of-scope)		Use GPT-3 to generate curiosity-prompting cues for a conversational agent to help children ask deeper questions.	GPT-3	Educational resource text; generated curiosity prompts; child question-asking behavior (in study)	Not interpretability; uses LLM to generate prompts/cues for learning interaction.		Empirical educational study comparing agent cues and impacts on children’s questions (per paper).						
doi:10.1186/s40561-023-00273-7	10.1186/s40561-023-00273-7		2023	Exploring the potential of using ChatGPT in physics education	[llm_xai] Smart Learning Environments	Education; LLM prompting for physics/math word problems (out-of-scope)		Study use of LLMs + prompting techniques for solving physics (science discipline) word problems.	Large language models (paper discusses LLM prompting techniques)	Physics word problems; prompts; generated solutions	Focus on reasoning steps/solutions via prompting; not an explicit XAI method.		Benchmark evaluation on physics problems; compares prompting strategies (per paper).						
doi:10.1609/aaai.v37i13.27014	10.1609/aaai.v37i13.27014		2023	Explaining Large Language Model-Based Neural Semantic Parsers (Student Abstract)	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	LLM-based semantic parsing; local explanations; faithfulness vs plausibility (student abstract)		Explain predictions of LLM-based neural semantic parsers (text-to-SQL) and compare local explanation methods.	LLM-based semantic parser (UnifiedSKG mentioned); explanation methods compared	Text questions + database schema; local perturbations; saliency/attribution maps	Local feature attribution: LIME, Kernel SHAP, attention, LERG variants; faithfulness via sufficiency/necessity; plausibility via manual inspection.		Student abstract; small-scale manual study + faithfulness metrics on benchmark examples (Spider-like).						
doi:10.3389/fonc.2023.1219326	10.3389/fonc.2023.1219326		2023	Evaluating large language models on a highly-specialized topic, radiation oncology physics	[llm_xai] Frontiers in Oncology	Clinical domain benchmark; LLM evaluation; explanation-before-answer prompting		Evaluate LLMs on a highly specialized radiation oncology physics exam and test prompting for explanations/deductive reasoning.	ChatGPT (GPT-3.5, GPT-4); Bard (LaMDA); BLOOMZ	Expert-authored multiple-choice exam (100 questions); explanation prompts; repeated trials	Free-text explanations; “explain-then-answer” prompting; consistency across trials; deductive reasoning probe with “none of the above” substitution.		Benchmark study: accuracy comparisons vs humans; repeated trials; prompt variants; majority vote analysis; deductive reasoning stress test.						
doi:10.37547/tajet/volume05issue12-13	10.37547/tajet/volume05issue12-13		2023	Ethical Considerations of LLM-Driven Quantum Code Generation for Optimization Tasks	[llm_xai] The American Journal of Engineering And Technology	AI ethics; LLM-driven code generation; quantum optimization (conceptual/grey literature)		Discuss ethical, legal, and technical risks of using LLMs (e.g., Codex) to generate quantum optimization code.	OpenAI Codex / LLM code assistants (discussed)	n/a (conceptual)	No XAI; proposes governance/policy filters (prompt blocklists, security checks, license fingerprinting) rather than explainability algorithms.		None (non-empirical).						
doi:10.2196/54369	10.2196/54369		2023	Capacity of Generative AI to Interpret Human Emotions From Visual and Textual Data: Pilot Evaluation Study	[llm_xai] JMIR Mental Health	Mental health; emotion recognition/mentalizing; multimodal LLM evaluation		Evaluate generative AI models on emotion understanding from images (RMET) and text (LEAS).	ChatGPT-4; Google Bard	Images (Reading the Mind in the Eyes Test) + text vignettes (Levels of Emotional Awareness Scale)	Not an XAI method; uses psychometric tests as external evaluation of “mentalizing” capability.		Benchmark-style evaluation using RMET and LEAS with statistical comparison to population reference scores.						
doi:10.1038/s41586-023-06792-0	10.1038/s41586-023-06792-0		2023	Autonomous chemical research with large language models	[llm_xai] Nature	Scientific automation; LLM agents + tools; explainability via plans/tool traces (background)		Develop an LLM-driven agent (Coscientist) that designs, plans, and executes chemistry experiments using tools/APIs.	GPT-4-driven Coscientist agent (with tool use: search, code execution, lab automation APIs)	Experimental protocols; tool documentation; lab automation API calls; experiment outcomes	Operational transparency via explicit plans, tool-use traces, code/API calls; not a dedicated XAI method.		Demonstrations across multiple experimental tasks; reports success on reaction optimization and autonomous experiment execution.						
doi:10.2196/48996	10.2196/48996		2023	Automated Paper Screening for Clinical Reviews Using Large Language Models: Data Analysis Study	[llm_xai] Journal of Medical Internet Research	Systematic reviews; LLM-assisted screening; explainable include/exclude decisions		Use GPT/GPT-4 APIs to screen titles/abstracts for clinical reviews and compare against human ground truth.	OpenAI GPT and GPT-4 APIs	Titles/abstracts + natural-language inclusion/exclusion criteria; model decisions + rationales	Prompted natural-language reasoning for include/exclude decisions; optional self-explanation and reflection prompts for errors.		Large-scale retrospective evaluation; metrics include accuracy, macro-F1, sensitivity for included/excluded; agreement (kappa/PABAK) vs human consensus; runtime/cost reported.						
doi:10.1038/s41467-023-43713-1	10.1038/s41467-023-43713-1		2023	Augmenting interpretable models with large language models during training	[llm_xai] Nature Communications	Interpretable models; LLM-assisted training; transparent inference		Use LLMs during training to build efficient, fully interpretable models for NLP tasks without LLM inference at runtime.	Aug-imodels: Aug-Linear (LLM-derived decoupled embeddings) and Aug-Tree (LLM keyphrase expansion) vs LLM baselines	Text classification datasets; n-gram features; LLM embeddings/keyphrases	Interpretable linear coefficients and keyphrase-expanded tree ensembles; instance-level feature contributions; transparency by design (no black-box at inference).		Empirical evaluation on multiple NLP benchmarks with accuracy vs efficiency tradeoffs; analysis of fitted model coefficients and keyphrase expansions.						
doi:10.2196/48254	10.2196/48254		2023	Assessing Health Students' Attitudes and Usage of ChatGPT in Jordan: Validation Study	[llm_xai] JMIR Medical Education	Medical education; adoption/attitudes; survey validation (out-of-scope)		Assess health students’ awareness, attitudes, and intention to use ChatGPT in Jordan.	ChatGPT (discussed as technology)	Survey responses (N≈458)	None (not interpretability).		Cross-sectional survey; psychometric validation + descriptive statistics.						
doi:10.1038/s41586-023-06734-w	10.1038/s41586-023-06734-w		2023	An autonomous laboratory for the accelerated synthesis of inorganic materials	[llm_xai] Nature	Autonomous labs; materials science; ML+robotics (out-of-scope)		Autonomous materials synthesis laboratory (A-Lab) using ML for recipe recommendation and phase identification.	A-Lab (robotic lab + ML models; includes NLP over synthesis literature; not primarily LLM-XAI)	Synthesis recipes; XRD patterns; materials databases (Materials Project/ICSD)	Not LLM explainability; uses ML decision-making and automated refinement; interpretability not central.		Experimental demonstration of autonomous synthesis attempts and iterative optimization.						
doi:10.18653/v1/2022.acl-long.247	10.18653/v1/2022.acl-long.247		2022	Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models	[llm_xai] Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	Fairness/bias; pre-trained LMs; bias transfer; mitigation evaluation		Test whether upstream debiasing of pre-trained LMs reduces downstream discriminatory behavior after fine-tuning.	RoBERTa-base and related interventions (pre-training/fine-tuning)	Text corpora + downstream classification datasets (e.g., bios, Wikipedia-based) + bias templates	Not XAI; focuses on bias measurement and mitigation (intrinsic vs extrinsic bias metrics; regression analyses).		Controlled interventions pre-fine-tuning + downstream fine-tuning on two classification tasks; measures intrinsic bias (e.g., pronoun ranking / sentiment templates) and extrinsic harms (e.g., TPR gap); regression analysis of drivers.						
doi:10.18653/v1/2022.acl-long.346	10.18653/v1/2022.acl-long.346		2022	SPoT: Better Frozen Model Adaptation through Soft Prompt Transfer	[llm_xai] Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	Parameter-efficient adaptation; soft prompt tuning; transfer learning (background)		Improve prompt tuning by transferring learned soft prompts across tasks.	SPoT (Soft Prompt Transfer) over frozen pre-trained LMs (various sizes)	Text benchmarks (SuperGLUE + 26 NLP tasks)	None (not explainability; training efficiency).		Large-scale benchmark experiments (SuperGLUE; 26 tasks in 160 task-pairs) + prompt-as-task-embedding retrieval for selecting transferable sources.						
doi:10.1016/j.artint.2022.103822	10.1016/j.artint.2022.103822		2022	Logic Explained Networks	[llm_xai] Artificial Intelligence	Explainable AI; neural-symbolic explanations; logic constraints (non-LLM)		Provide human-understandable logical explanations for neural decisions via Logic Explained Networks (LENs).	Logic Explained Networks (LENs)	Generic tabular/image/text depending on use-case; concepts as intermediate representations	Built-in logical explanations; concept-based reasoning; optional distillation/mimicry of black-box models; supports supervised and unsupervised settings.		Demonstrates LEN variants across multiple use cases (supervised classification focus; also unsupervised), comparing implementation choices and explanation customization.						
doi:10.1038/s41467-022-28595-z	10.1038/s41467-022-28595-z		2022	General statistical model shows that macroevolutionary patterns and processes are consistent with Darwinian gradualism	[llm_xai] Nature Communications	Evolutionary biology; macroevolution modeling (out-of-scope)		Statistical model of directional and evolvability changes on phylogenies to explain macroevolutionary patterns.	Statistical phylogenetic model (directional shifts + evolvability changes)	Phylogenetic trees + phenotypic traits (mammal body size)			Applied to mammalian body-size evolution with model comparison via marginal likelihoods and branch-wise effect estimates.						
doi:10.1038/s41746-022-00742-2	10.1038/s41746-022-00742-2		2022	A large language model for electronic health records	[llm_xai] npj Digital Medicine	Clinical NLP; EHR language modeling; large clinical LM scaling (GatorTron)		Train a large clinical language model from scratch on EHR notes and evaluate on multiple clinical NLP tasks.	GatorTron (345M, 3.9B, 8.9B parameter clinical LMs)	De-identified clinical notes (EHR) + biomedical text; downstream clinical NLP benchmarks	Not a dedicated explainability method; focuses on capability scaling for clinical NLP tasks.		Pretraining with masked language modeling + benchmark evaluation across five clinical NLP tasks; compares to BioBERT/ClinicalBERT/BioMegatron etc.; analyzes scaling effects.						
doi:10.1038/s41467-024-45563-x	10.1038/s41467-024-45563-x		2024	Structured information extraction from scientific text with large language models	[llm_xai_v2] [llm_xai] Nature Communications	Scientific NLP; information extraction; LLM fine-tuning for structured extraction		Extract structured records (NER+relation extraction) from scientific text (materials chemistry) using LLMs.	GPT-3; Llama-2 (fine-tuned)	Scientific text (sentences/paragraphs); outputs as English statements or JSON records	Structured output (JSON) as explicit evidence extraction; not a model explanation method per se.		Benchmark-style evaluation on three IE tasks; compares extraction from sentences vs paragraphs; reports quality of extracted records (per paper).						
doi:10.1007/s10458-024-09663-8	10.1007/s10458-024-09663-8		2024	From large language models to small logic programs: building global explanations from disagreeing local post-hoc explainers	[llm_xai_v2] [llm_xai] Autonomous Agents and Multi-Agent Systems	XAI for LLMs; global explanations; surrogate logic programs from local explanations		Compare local post-hoc explainers for LLMs and build global post-hoc explanations as logic programs.	LLMs (as black boxes) + surrogate logic programs	Text inputs; local attribution outputs; induced logic rules	Local post-hoc explainers (attribution) + aggregation into global logic-program surrogate explanations.		Experimental comparison of local explainers and surrogate construction (details in paper); assesses faithfulness/coverage of induced logic programs.						
doi:10.1609/aaai.v39i24.34757	10.1609/aaai.v39i24.34757		2025	ReFF: Reinforcing Format Faithfulness in Language Models Across Varied Tasks	[llm_xai_v2] [llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	Format faithfulness; explanation/evaluation via programmatic checkers		Measure and improve LLM adherence to output formatting constraints (format faithfulness).	Multiple open/closed LLMs evaluated; FormatBench + ReFF (as described)	Instructions/chat prompts; outputs validated by format checker programs	Not an explainer; uses automatic checkers as verifiable constraints (useful for auditable outputs).		Benchmark evaluation with programmatic format checkers; compares models and (if included) training/finetuning variants.						
doi:10.2196/53008	10.2196/53008		2024	Generative AI in Medical Practice: In-Depth Exploration of Privacy and Security Challenges	[llm_xai_v2] [llm_xai] Journal of Medical Internet Research	Healthcare; generative AI security/privacy; lifecycle threats (secondary)		Survey privacy and security threats of generative AI (incl. LLMs) across the healthcare lifecycle.	Generative AI models (GANs, LLMs) discussed	n/a (viewpoint)	Not XAI; focuses on privacy/security risk analysis and mitigations.		Secondary literature viewpoint; qualitative risk taxonomy across lifecycle phases.						
doi:10.18559/ebr.2023.2.743	10.18559/ebr.2023.2.743		2023	Challenges for higher education in the era of widespread access to generative AI	[llm_xai_v2] [llm_xai] Economics and Business Review/The Poznań University of Economics Review	Education; generative AI adoption; student survey (out-of-scope for LLM-XAI methods)		Discuss impacts of generative AI in higher education and report a student survey on usage/perceptions.	Generative AI systems (GPT-4, Open Assistant, DALL-E) discussed	Student survey responses; policy discussion	None (not explainability).		Survey study among university students + narrative discussion/recommendations.						
doi:10.1007/s40547-024-00143-4	10.1007/s40547-024-00143-4		2024	Sentiment Analysis in the Age of Generative AI	[llm_xai_v2] [llm_xai] Customer Needs and Solutions	Marketing analytics; sentiment classification; LLM evaluation (out-of-scope/marginal)		Benchmark LLMs for sentiment analysis vs transfer-learning models and study effects of data/prompting.	GPT-3.5; GPT-4; Llama 2 (benchmarked) vs transfer learning baselines	Text (consumer sentiment datasets)	Not an explainability method; focuses on predictive performance and prompting effects.		Benchmark comparison across datasets; analyzes factors affecting accuracy and prompting.						
doi:10.1186/s12911-024-02459-6	10.1186/s12911-024-02459-6		2024	Assessing the research landscape and clinical utility of large language models: a scoping review	[llm_xai_v2] [llm_xai] BMC Medical Informatics and Decision Making	Clinical LLMs; scoping review; evaluation framework; evidence gaps (secondary)		Scoping review of medical LLM research to summarize evidence, implications, barriers, and propose evaluation framework + research gaps.	LLMs in medicine (ChatGPT and others) across included studies	n/a (scoping review)	Framework-level guidance (reporting/evaluation); not a specific explanation algorithm.		Secondary literature: scoping review with structured synthesis; proposes evaluation framework.						
doi:10.1038/s42256-023-00692-8	10.1038/s42256-023-00692-8		2023	Explaining machine learning models with interactive natural language conversations using TalkToModel	[llm_xai_v2] [llm_xai] Nature Machine Intelligence	Conversational explainability; interactive model understanding; explanation selection		Enable open-ended natural language dialogue to explain ML model behavior for tabular classifiers (TalkToModel).	TalkToModel: LLM-based semantic parser to a structured language + execution engine; supports any tabular dataset/classifier	Tabular data + model predictions; user utterances; explanation operations executed and summarized	Conversational interface for explanations; automatic explanation selection based on fidelity; supports counterfactuals, feature importance, subgroup analyses.		Quantitative language-understanding evaluation on gold parses + human study with healthcare workers and ML practitioners comparing TalkToModel vs point-and-click explainability tools.						
doi:10.1038/s41746-025-01670-7	10.1038/s41746-025-01670-7		2025	A framework to assess clinical safety and hallucination rates of LLMs for medical text summarisation	[llm_xai_v2] [llm_xai] npj Digital Medicine	Clinical NLP; summarization safety; hallucination/omission taxonomy; clinical auditing tooling		Assess clinical safety of LLM-generated medical summarization/notes via error taxonomy + clinician annotation + harm severity.	LLMs for clinical note generation/summarisation (multiple configurations); CREOLA GUI	Clinical consultation notes/summaries; clinician-annotated sentences (n=12,999)	Error taxonomy + clinician-annotated auditing; traceable configurations; not an explanation method but an evaluation/safety framework.		Clinician annotation of generated sentences; iterative comparisons across 18 pipeline configurations; safety scoring of errors; reports hallucination/omission rates.						
doi:10.1609/aaai.v38i16.29770	10.1609/aaai.v38i16.29770		2024	Mitigating Large Language Model Hallucinations via Autonomous Knowledge Graph-Based Retrofitting	[llm_xai_v2] [llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	Hallucination mitigation; LLM + knowledge graph retrofitting; grounding		Reduce LLM hallucinations by retrofitting outputs with an autonomously built/updated knowledge graph.	LLM + autonomous knowledge graph-based retrofitting (AAAI-24)	Text generation tasks; knowledge graph entities/relations	Knowledge-graph grounding as evidence; retrofitting/correction pipeline rather than post-hoc explanation.		Benchmark evaluation of hallucination reduction and factuality consistency (per paper).						
doi:10.1007/s41019-023-00235-6	10.1007/s41019-023-00235-6		2024	DB-GPT: Large Language Model Meets Database	[llm_xai_v2] [llm_xai] Data Science and Engineering	Databases; LLM-to-SQL / DB assistants; system design (likely out-of-scope)		DB-GPT system integrating LLMs with databases for querying/analytics (text-to-SQL and DB interaction).	DB-GPT (LLM + database tooling)	Database schemas + natural language queries	May provide query traces or intermediate SQL; not primarily an explainability method.		System paper with demonstrations/benchmarks (per paper).						
doi:10.1038/s43246-024-00449-9	10.1038/s43246-024-00449-9		2024	Accelerating materials language processing with large language models	[llm_xai_v2] [llm_xai] Communications Materials	Scientific discovery; LLMs in science; evaluation/positioning		Use LLMs in scientific reasoning/discovery (paper-specific; needs follow-up if core).	LLM(s) (paper-specific)	Scientific text/data	Unclear from header; likely uses structured outputs/constraints or evaluation of reasoning.		Benchmark/demonstration (per paper).						
doi:10.1038/s41746-024-01190-w	10.1038/s41746-024-01190-w		2024	Orchestrating explainable artificial intelligence for multimodal and longitudinal data in medical imaging	[llm_xai_v2] [llm_xai] npj Digital Medicine	Clinical XAI orchestration; multimodal/LLM systems; explainability pipeline (secondary-ish)		Orchestrate XAI methods and LLMs for multimodal clinical/healthcare decision support with traceability.	LLM + XAI orchestration framework (per paper)	Multimodal clinical data (text + other modalities)	Pipeline orchestration (selecting/combining explainers), traceability across components; not a single explainer.		Framework description with case studies/benchmarks (per paper).						
doi:10.1613/jair.1.15348	10.1613/jair.1.15348		2024	Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities	[llm_xai_v2] [llm_xai] Journal of Artificial Intelligence Research	Planning; explainable AI planning; model-based explanations (non-LLM)		Explain planning behavior / model reconciliation (JAIR paper; planning algorithms).	AI planning systems (not LLM-specific)	Planning problems/models	Plan explanations / model reconciliation / explanatory models for planning.		Algorithmic evaluation on planning benchmarks (per paper).						
doi:10.62411/jcta.9447	10.62411/jcta.9447		2024	A Comparative Analysis of Generative Artificial Intelligence Tools for Natural Language Processing	[llm_xai_v2] [llm_xai] Journal of Computing Theories and Applications	Unknown venue; likely low-signal (needs verification)		Unknown (requires deeper read).	Unknown	Unknown	Unknown		Unknown						
doi:10.18653/v1/2022.naacl-main.47	10.18653/v1/2022.naacl-main.47		2022	Reframing Human-AI Collaboration for Generating Free-Text Explanations	[llm_xai_v2] [llm_xai] Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies	Free-text explanations; human-AI collaboration; acceptability filtering		Generate free-text explanations with LLM prompting and filter for human acceptability using supervised classifiers.	GPT-3 prompting + acceptability filter (trained on human binary judgments)	CommonsenseQA + NLI instances; generated explanation candidates; human acceptability labels	Overgenerate-and-filter pipeline; acceptability classifier; AMT head-to-head and absolute evaluation of explanation quality.		Human subjects studies comparing GPT-3 explanations vs crowdsourced datasets; acceptability annotation; training acceptability classifiers and reporting AP/accuracy metrics.						
doi:10.1007/s44230-023-00038-y	10.1007/s44230-023-00038-y		2023	Survey on Explainable AI: From Approaches, Limitations and Applications Aspects	Human-Centric Intelligent Systems	general XAI	researchers/practitioners	survey; taxonomy of XAI methods			taxonomy survey (e.g., source-oriented / representation-oriented / logic-oriented, etc.)		narrative survey; taxonomy synthesis						
doi:10.1007/s41669-024-00477-8	10.1007/s41669-024-00477-8		2024	Artificial Intelligence to Automate Health Economic Modelling: A Case Study to Evaluate the Potential Application of Large Language Models	PharmacoEconomics - Open	health economics	modelers/analysts	LLM-assisted code generation for health economic models	GPT-4	structured parameters; text prompts; code			replication study (15 runs/model); compare ICERs and errors vs published models						
doi:10.1371/journal.pone.0298522	10.1371/journal.pone.0298522		2024	Large language models are able to downplay their cognitive abilities to fit the persona they simulate	PLOS ONE	cognitive/linguistic development; persona simulation	researchers	evaluate whether LLMs can simulate child-like cognition/language on false-belief tasks	GPT-3.5-turbo; GPT-4	text prompts/responses	prompting variants (zero-shot; chain-of-thought; primed-by-corpus)		behavioral evaluation over prompt conditions; correctness vs task/age; linguistic complexity metrics						task correctness; utterance length; Kolmogorov complexity
doi:10.1186/s40561-024-00354-1	10.1186/s40561-024-00354-1		2024	Harnessing large language models to develop research-based learning assistants for formative feedback	Smart Learning Environments	education (self-regulated learning)	students/teachers	LLM-based formative feedback scaffolding	GPT-4o (platform mentions GPT-4o; general LLM support)	text (student responses; feedback)	prompt design to elicit scaffolds (sense-making, elaboration, self-explanation, metacognitive/motivational scaffolds)	platform-mediated teacher pre-prompting; student interaction with LLM feedback	system proposal/commentary with illustrative examples (limited empirical evaluation in this paper)						
doi:10.1609/aaai.v38i17.29863	10.1609/aaai.v38i17.29863		2024	RewriteLM: An Instruction-Tuned Large Language Model for Text Rewriting	AAAI	NLP (text rewriting)	end-users/writers	instruction-following text rewriting	RewriteLM (instruction-tuned; PaLM variants) + reward model	text	chain-of-thought prompting used for instruction generation (not user-facing explanations)		benchmark evaluation on OpenRewriteEval; comparisons vs pretrained and instruction-tuned baselines						
doi:10.1609/aaai.v38i19.30178	10.1609/aaai.v38i19.30178		2024	Efficient Toxic Content Detection by Bootstrapping and Distilling Large Language Models	AAAI	content moderation / NLP	platform operators/moderators	toxic content detection with rationales + distillation	LLM (e.g., ChatGPT/Llama mentioned) + student LM	text	rationales; Decision-Tree-of-Thought prompting; distillation of label+rationale		experiments on 4 datasets; accuracy + cross-dataset transfer; model size comparison						
doi:10.3389/fmed.2024.1512329	10.3389/fmed.2024.1512329		2025	Research on a traditional Chinese medicine case-based question-answering system integrating large language models and knowledge graphs	Frontiers in Medicine	clinical QA (traditional Chinese medicine)	clinicians/researchers	case-based QA with LLM + knowledge graph (RAG-style)	LLM + knowledge graph (KG-augmented)	clinical case text; KG triples; text QA	KG/RAG grounding (evidence via retrieved context); faithfulness-style evaluation (RAGAS)	natural-language query interface over KG	automatic RAGAS metrics + human safety/usability ratings						RAGAS faithfulness/answer relevancy/context recall; human safety/usability
doi:10.51219/jaimld/oluwole-fagbohun/15	10.51219/jaimld/oluwole-fagbohun/15		2023	An Empirical Categorization of Prompting Techniques for Large Language Models: A Practitioner’s Guide	Journal of Artificial Intelligence, Machine Learning and Data Science	prompting/prompt engineering	practitioners	survey/categorization of prompting techniques	LLMs (general)	text	prompting techniques taxonomy (includes techniques often used to elicit rationales/explanations)		narrative survey; categorization						
doi:10.1007/s12599-025-00945-3	10.1007/s12599-025-00945-3		2025	Retrieval-Augmented Generation (RAG)	Business & Information Systems Engineering	information retrieval / enterprise search	practitioners (IS/IR); enterprises	overview of RAG for knowledge-grounded QA	RAG framework (retriever + LLM generator)	text corpora + retrieved passages	retrieved evidence/citations via RAG; grounded generation		conceptual overview (no primary evaluation)						
doi:10.1038/s41598-024-56648-4	10.1038/s41598-024-56648-4		2024	STELA: a community-centred approach to norm elicitation for AI alignment	Scientific Reports	AI alignment / governance (community norms)	underrepresented communities; AI developers/policymakers	norm elicitation for LLM alignment (participatory)	LLM/chatbot (used as discussion artifact); rulesets	text deliberation transcripts; qualitative codes	transparency via explicit rules/principles; participatory elicitation (not model explanations)	deliberative focus groups; community review; qualitative coding	qualitative study + ruleset comparison						
doi:10.1371/journal.pone.0300024	10.1371/journal.pone.0300024		2024	Framework-based qualitative analysis of free responses of Large Language Models: Algorithmic fidelity	PLOS ONE	social science methodology (qualitative interviews)	researchers	assess validity of LLM-simulated “silicon participants” for qualitative research	GPT-3.5	text interviews (human vs LLM-generated)	validity/faithfulness concept (algorithmic fidelity); qualitative framework analysis		paired qualitative analysis (themes + tone/structure) human vs silicon participants						
doi:10.1038/s44387-025-00019-5	10.1038/s44387-025-00019-5		2025	Exploring the role of large language models in the scientific method: from hypothesis to discovery	npj Artificial Intelligence	AI4Science / scientific workflows	scientists/researchers	review of LLM roles in scientific method	LLMs + agents/tools (LangChain, LlamaIndex, etc.)	text; prompts; tools	prompting/RAG/agent frameworks; not primarily explainability		narrative review/perspective						
doi:10.3389/frai.2024.1464690	10.3389/frai.2024.1464690		2025	Fostering effective hybrid human-LLM reasoning and decision making	Frontiers in Artificial Intelligence	human-AI collaboration / decision making	end-users/professionals	perspective on hybrid human-LLM reasoning	LLMs (ChatGPT etc.)	text interaction	discussion of needs for mutual understanding/communication; not a concrete explainer		conceptual perspective (no primary experiment)						
doi:10.1057/s41599-023-02119-6	10.1057/s41599-023-02119-6		2023	ChatGPT as a COBUILD lexicographer	Humanities and Social Sciences Communications	lexicography / language education	lexicographers	evaluate ChatGPT for dictionary entry generation	ChatGPT Plus	text (definitions/examples)	definitions as explanations of word meaning (lexicographic)		expert evaluation (15 verbs; blinded randomized ratings)						
