paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	abstract	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance	main_findings	conclusions	limitations	pdf_path	notes
doi:10.1007/s10994-025-06852-8	10.1007/s10994-025-06852-8		2025	Toward practical human-interpretable explanations	Machine Learning	XAI (human-interpretable explanations)	ML practitioners	human-interpretable feature attribution without invertible mapping	Latent SHAP (model-agnostic black-box attribution)	various (CV/NLP/cybersecurity examples)	Introduces Latent SHAP, a model-agnostic black-box feature attribution framework that produces human-interpretable explanations without requiring an invertible transformation from raw features to interpretable concepts; evaluates faithfulness on controlled datasets and demonstrates utility across domains including NLP/LLMs.	Latent SHAP (attribution in interpretable space via non-invertible transform)		quantitative faithfulness on controlled datasets + case studies							Enables practical human-interpretable explanations when only non-invertible mapping to interpretable features exists; shows competitive faithfulness in controlled setups.	Bridges gap between popular attribution methods and human-interpretable representations in real-world settings.	Not specific to LLM explainability; depends on quality of interpretable representation and transform.	papers_openalex_llm_xai/10.1007_s10994-025-06852-8.pdf	in_scope=partial (relevant XAI method; not LLM-specific).
doi:10.1007/s11704-024-40231-1	10.1007/s11704-024-40231-1		2024	A survey on large language model based autonomous agents	Frontiers of Computer Science	LLM agents	agent researchers/practitioners	survey of LLM-based autonomous agents (construction/applications/evaluation)	LLM-based agents (memory/planning/tool use)	text + tools/environments	Survey of LLM-based autonomous agents, proposing a unified framework for agent construction (architecture, memory, planning, tools), summarizing applications, and discussing evaluation strategies, challenges, and future directions.	mentions natural-language interfaces as “more flexible and explainable” (high-level)		survey							Systematizes agent components (profiles, memory modules, planning) and evaluation practices; identifies open challenges.	LLM agents benefit from world knowledge and tool integration but need better evaluation and robustness.	Secondary literature; not focused on explainability methods.	papers_openalex_llm_xai/10.1007_s11704-024-40231-1.pdf	secondary_literature=yes; in_scope=no (agents survey; not explainability focus).
doi:10.1007/s11846-023-00696-z	10.1007/s11846-023-00696-z		2023	The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective	Review of Managerial Science	business / management	business researchers/practitioners	scoping review of generative AI impacts on business model innovation	GenAI applications (ChatGPT, DALL-E, etc.)	mixed sources (academic + reports/news)	Scoping review of generative AI (e.g., ChatGPT, Jasper, DALL-E) from a business model innovation perspective; develops propositions on impacts and discusses industry examples (software engineering, healthcare, financial services) using qualitative content analysis over 513 data points.			scoping review / qualitative content analysis							Synthesizes implications of GenAI for business model innovation and proposes propositions and examples across industries.	GenAI can reshape business models; organizations need to understand capabilities/limitations and integrate responsibly.	Not focused on explainability; broad management perspective.	papers_openalex_llm_xai/10.1007_s11846-023-00696-z.pdf	secondary_literature=yes; in_scope=no (management/GenAI, not LLM explainability).
doi:10.1039/d3dd00113j	10.1039/d3dd00113j		2023	14 examples of how LLMs can transform materials science and chemistry: a reflection on a large language model hackathon	Digital Discovery	AI4Science / materials & chemistry	scientists	examples/prototypes of LLM use in materials/chemistry workflows	LLMs (various) + tool prototypes	scientific text/data/tools	Perspective reflecting on a large language model hackathon and presenting 14 prototype examples of how LLMs can aid materials science and chemistry (interfaces, extraction from unstructured text, education, molecule discovery).	tooling/interfaces; not dedicated explainability		hackathon reflection; prototypes (little/no evaluation)							Demonstrates breadth of possible LLM-enabled tools and workflows; provides links to prototype repositories.	LLMs likely to impact scientific workflows substantially; prototyping is fast but rigorous evaluation remains open.	Not an empirical evaluation; primarily inspirational examples.	papers_openalex_llm_xai/10.1039_d3dd00113j.pdf	in_scope=no (AI4Science applications; not explainability focus).
doi:10.1007/s12525-023-00680-1	10.1007/s12525-023-00680-1		2023	Generative artificial intelligence	Electronic Markets	generative AI overview	researchers/practitioners	overview of generative AI fundamentals, properties, potentials, challenges	generative models including LLMs	conceptual	Provides an overview of generative AI fundamentals, terms/techniques, properties, and discusses potentials and challenges; emphasizes understanding distinctive characteristics to harness benefits and mitigate risks.			conceptual overview							Summarizes generative AI concepts and key challenges/risks at a high level.	Researchers/practitioners should understand generative AI properties for responsible use.	Not LLM explainability-focused.	papers_openalex_llm_xai/10.1007_s12525-023-00680-1.pdf	secondary_literature=yes; in_scope=no (general GenAI overview).
doi:10.3389/frai.2023.1237704	10.3389/frai.2023.1237704		2023	Overview of Chatbots with special emphasis on artificial intelligence-enabled ChatGPT in medical science	Frontiers in Artificial Intelligence	healthcare (chatbots/ChatGPT overview)	clinicians/researchers	review of chatbots and ChatGPT in medical science	ChatGPT and related LLMs	text	Review of chatbots with emphasis on ChatGPT in medicine: evolution/architecture/medical uses of chatbots; ChatGPT architecture/training, diagnosis/treatment use cases, ethical issues, comparison to other NLP models, limitations and prospects.	mentions ethics/limitations; no concrete XAI method		narrative review							Summarizes current uses and potential of ChatGPT/LLMs in healthcare alongside risks and ethical concerns.	LLMs have promise in healthcare but require more research, validation, and governance.	Secondary; broad scope.	papers_openalex_llm_xai/10.3389_frai.2023.1237704.pdf	secondary_literature=yes; in_scope=no (medical chatbot review; not explainability focus).
doi:10.1609/aaai.v38i8.28678	10.1609/aaai.v38i8.28678		2024	Enhancing Job Recommendation through LLM-Based Generative Adversarial Networks	AAAI	recommender systems / HR tech	job seekers/recruitment platforms	job recommendation with LLM-based GAN approach	LLM-based generative adversarial networks (job rec)	text resumes + job descriptions	Proposes a job recommendation method leveraging LLMs and a generative adversarial setup to mitigate low-quality/incomplete resumes and improve matching, aiming for higher practical effectiveness.			offline experiments (details in paper)							Uses LLM knowledge/reasoning to enhance job recommendation under noisy resume data.	LLM-augmented recommendation can improve robustness to resume quality issues.	Not explainability; domain-specific.	papers_openalex_llm_xai/10.1609_aaai.v38i8.28678.pdf	in_scope=no (recommender system, not explainability).
doi:10.1007/s00146-023-01710-4	10.1007/s00146-023-01710-4		2023	ChatGPT: deconstructing the debate and moving it forward	AI & Society	ethics/philosophy of AI	researchers/policymakers	philosophical analysis of authorship/deception debates around ChatGPT	ChatGPT (as case study)	conceptual	Analyzes ethical debates about ChatGPT (authorship, deception) focusing on assumptions about authorship/language and the appearance–reality distinction; offers an alternative framing via deconstruction and addresses counter-objections.			philosophical analysis							Argues for alternative conceptualization of what goes on with ChatGPT that avoids appearance/reality framing; discusses ethical implications.	Debates benefit from clearer philosophical assumptions and alternative framing.	Not about explainability methods.	papers_openalex_llm_xai/10.1007_s00146-023-01710-4.pdf	in_scope=no (ethics/philosophy, not LLM explainability).
doi:10.1613/jair.1.14649	10.1613/jair.1.14649		2023	How to DP-fy ML: A Practical Guide to Machine Learning with Differential Privacy	Journal of Artificial Intelligence Research	privacy-preserving ML	ML practitioners	practical guide to differential privacy for ML	DP ML training methods (DP-SGD etc.)	various	Practical guide for training ML models with differential privacy, covering what DP protection entails, target guarantees, and strategies for privacy–utility–compute tradeoffs, including hyperparameter tuning and architectural considerations.			tutorial/guide							Synthesizes practical DP ML guidance and tuning tricks for broader adoption.	DP ML is feasible with careful choices and tuning; aims to facilitate deployment.	Not LLM explainability-focused.	papers_openalex_llm_xai/10.1613_jair.1.14649.pdf	secondary_literature=yes; in_scope=no (differential privacy guide).
doi:10.1145/3643834.3661588	10.1145/3643834.3661588		2024	DesignPrompt: Using Multimodal Interaction for Design Exploration with Generative AI	DIS (Designing Interactive Systems)	HCI / creativity support	designers	multimodal prompt authoring for text-to-image GenAI	text-to-image GenAI (tool supports multimodal prompts; underlying model not central)	multimodal (images/colors/semantics/text prompts)	Introduces DesignPrompt, a moodboard tool that lets designers compose multimodal prompts (images, colors, semantics, text) and iteratively refine them; evaluated via structured observation study with 12 professional designers vs text-only prompting, focusing on intent expression, expectation alignment, and perceived transparency.	interaction to improve intent expression and transparency perception (not model explanations)	moodboard-based multimodal prompt composition + iterative refinement	comparative structured observation study	12.0	professional designers					Multimodal prompts help designers express intentions and explore; interaction preferences depend on sense of control and goal (inspiration vs specific image).	Designer-centered multimodal prompting tools can better align GenAI interaction with design thinking.	Not a model explainability method; small sample; results tied to design context.	papers_openalex_llm_xai/10.1145_3643834.3661588.pdf	in_scope=partial (human-facing transparency and promptability for GenAI).
doi:10.1007/s44267-024-00065-8	10.1007/s44267-024-00065-8		2024	An overview of large AI models and their applications	Visual Intelligence	large AI models overview	researchers/practitioners	review of large AI models (LLMs/LVMs/multimodal) and applications	large AI models (BERT/GPT etc.)	conceptual	Review of large-scale AI models and their algorithmic principles and industrial applications; discusses evolution, core technologies, limitations (compute, privacy), and future trends including cross-modal fusion.			review							Summarizes development history and challenges of scaling, privacy, and multimodal limitations.	Model scale likely to expand further; cross-modal fusion is a key trend.	Not explainability-focused; broad overview.	papers_openalex_llm_xai/10.1007_s44267-024-00065-8.pdf	secondary_literature=yes; in_scope=no (general large model overview).
doi:10.1007/s10639-023-12405-0	10.1007/s10639-023-12405-0		2024	How should we change teaching and assessment in response to increasingly powerful generative Artificial Intelligence? Outcomes of the ChatGPT teacher survey	Education and Information Technologies	education (teacher beliefs)	educators	survey on how teaching/assessment should change due to ChatGPT	ChatGPT/generative AI (context)	survey responses	Mixed-methods teacher survey (n=318) on perceived impact of generative AI (ChatGPT) on teaching/assessment and how practices should change; identifies curriculum/pedagogy/assessment themes and motivations.		survey study	mixed methods (quant + thematic analysis)	318.0	educators					Most teachers expect major impact; awareness predicts perceived impact; themes include learning with AI, higher-order thinking, ethics, process-focused assessment, and relational learning.	Education systems should adapt pedagogy and assessment to generative AI while emphasizing ethics and higher-order skills.	Not about explainability methods; survey context dependent.	papers_openalex_llm_xai/10.1007_s10639-023-12405-0.pdf	in_scope=no (education survey; not LLM explainability).
doi:10.1609/aaai.v38i1.27758	10.1609/aaai.v38i1.27758		2024	Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning	AAAI	reinforcement learning / sim-to-real	RL researchers	sim-to-real transfer for traffic signal control using prompt learning	RL policy + grounded action transformation + LLM prompting (PromptGAT)	traffic states + text prompts	Proposes PromptGAT, integrating LLM knowledge about dynamics changes (weather/road) via prompt-based dynamics profiling into grounded action transformation for sim-to-real RL in traffic signal control, reducing performance gaps.	LLM-derived dynamics profiling via prompts (not XAI)		experiments on 4 scenarios in sim-to-sim transfer setting							LLM-informed dynamics profiling improves action transformation and mitigates sim-to-real performance gaps.	Prompting LLMs for domain knowledge can help adapt RL policies across dynamic shifts.	Not explainability; depends on LLM reliability; evaluated in simulation-to-simulation.	papers_openalex_llm_xai/10.1609_aaai.v38i1.27758.pdf	in_scope=no (RL transfer, not LLM explainability).
doi:10.1007/s10796-023-10400-x	10.1007/s10796-023-10400-x		2023	Exploring the Darkverse: A Multi-Perspective Analysis of the Negative Societal Impacts of the Metaverse	Information Systems Frontiers	metaverse governance/risks	researchers/policymakers	multi-perspective analysis of negative societal impacts of metaverse		expert perspectives	Multi-perspective paper compiling expert narratives on negative societal impacts (“darkverse”) of the metaverse (privacy, crime, misinformation, mental health, harassment) and synthesizing themes and propositions.			expert perspectives synthesis							Catalogues risk themes and proposes implications for policy/practice.	Metaverse risks need proactive governance and mitigation strategies.	Not related to LLM explainability.	papers_openalex_llm_xai/10.1007_s10796-023-10400-x.pdf	in_scope=no (metaverse risks; out-of-scope).
doi:10.1609/aaai.v38i18.29970	10.1609/aaai.v38i18.29970		2024	Value Kaleidoscope: Engaging AI with Pluralistic Human Values, Rights, and Duties	AAAI	AI alignment / value pluralism	researchers	model pluralistic values/rights/duties and explain decision variability	Kaleido (structured multi-task model) distilled from GPT-4; ValuePrism dataset	text situations + values/rights/duties	Introduces ValuePrism dataset (218k values/rights/duties linked to 31k situations) generated by GPT-4 and validated by humans, and Kaleido, a lightweight structured model to generate, explain, and assess relevance/valence of values to reflect value pluralism.	value-based explanations; structured modular generation + relevance/valence + explanations; contrasting values		dataset creation + human evaluation + model comparison vs GPT-4 teacher; transfer to other datasets							Humans prefer Kaleido outputs over GPT-4 teacher for accuracy/coverage; helps explain variability by contrasting values; modular interpretable approach transfers.	Explicit structured modeling can better capture pluralistic human values and support explainable, value-aware AI.	Focus on value modeling rather than LLM explanation; dataset generation depends on GPT-4 and annotator demographics.	papers_openalex_llm_xai/10.1609_aaai.v38i18.29970.pdf	in_scope=partial (structured explanations and contrasting values relevant to XAI/human factors).
doi:10.1609/aaaiss.v2i1.27698	10.1609/aaaiss.v2i1.27698		2024	Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences	AAAI Fall Symposium Series	agent-based modeling / cognitive architectures	social scientists	framework for psychologically-valid generative agents in ABM	cognitive architecture + LLM for language + stance detection initialization	social media text + ABM states	Proposes Psychologically-Valid Generative Agents combining a cognitive architecture for decision-making with an LLM for human-like linguistic output, plus stance detection to initialize agents from real-world data, aiming for more realistic ABM simulations.	cognitive-architecture grounding; explicit mechanisms vs pure LLM agents		framework/proposal with discussion of prior component results							Argues hybrid architecture can yield more realistic behavior than LLM-only generative agents and scale to population models.	Combining cognitive architectures with LLM language generation and NLP initialization may improve ABM realism.	Not a direct explainability method; evaluation details limited in this paper.	papers_openalex_llm_xai/10.1609_aaaiss.v2i1.27698.pdf	in_scope=no (agents/ABM; not LLM explainability focus).
doi:10.1186/s12909-024-06592-8	10.1186/s12909-024-06592-8		2024	Exploring prospects, hurdles, and road ahead for generative artificial intelligence in orthopedic education and training	BMC Medical Education	medical education (orthopedics)	medical trainees/educators	narrative review of generative AI in orthopedic education	generative AI (ChatGPT, Med-PaLM 2 etc.)	literature	Narrative review of generative AI in orthopedic education/training: potential applications (real-time explanations, adaptive materials, simulations) and challenges (accuracy, bias, inconsistency, ethics/regulation, oversight), and future research directions.	mentions “real-time explanations” as application (educational), not XAI research		narrative review							Generative AI can support personalized, interactive learning but current performance on orthopedic exams is suboptimal; oversight is critical.	Need optimized medical-content models, ethical best practices, curriculum integration, and long-term outcome evaluation.	Secondary; not XAI-specific.	papers_openalex_llm_xai/10.1186_s12909-024-06592-8.pdf	secondary_literature=yes; in_scope=no (medical education review).
doi:10.3389/frai.2023.1093712	10.3389/frai.2023.1093712		2023	How AI tools can—and cannot—help organizations become more ethical	Frontiers in Artificial Intelligence	organizational ethics / governance	organizational leaders	argument on how AI tools can support ethical upskilling	AI systems broadly (mentions LLMs)	conceptual	Argues AI systems will not be more ethical than humans; responsibility remains human. Proposes using AI as a “mirror” (bias/interpretability/counterfactual modeling) to ethically upskill leaders by understanding psychological underpinnings of unethical behavior.	interpretability + counterfactual modeling as tools for reflection		conceptual perspective							Positions AI as support for ethical learning rather than moral agent; proposes collaborative paradigm human+AI.	AI can aid ethical decision-making only if humans develop ethical maturity and use interpretability insights.	Not LLM explainability; no empirical evaluation.	papers_openalex_llm_xai/10.3389_frai.2023.1093712.pdf	in_scope=no (org ethics perspective; not LLM explainability).
doi:10.3389/frai.2025.1616145	10.3389/frai.2025.1616145		2025	Medical reasoning in LLMs: an in-depth analysis of DeepSeek R1	Frontiers in Artificial Intelligence	clinical reasoning evaluation	clinicians/researchers	analyze LLM medical reasoning vs expert patterns	DeepSeek R1	clinical vignettes (MedQA)	Evaluates DeepSeek R1 medical reasoning on 100 MedQA clinical cases; reports diagnostic accuracy and analyzes reasoning patterns and error modes, relating reasoning length to accuracy as a confidence proxy.	explicit reasoning steps; qualitative error taxonomy; reasoning-length heuristic as uncertainty signal		qualitative + quantitative analysis of 100 MedQA cases						diagnostic accuracy; reasoning length; error categories	Achieves 93% diagnostic accuracy; errors include anchoring, conflict integration issues, limited alternatives, overthinking, incomplete knowledge; longer reasoning correlates with higher error probability.	Reasoning traces can resemble clinical reasoning but require calibration; reasoning length may be a practical red flag for uncertainty/rationalization.	Single model and dataset slice; alignment with true expert reasoning remains partial; reasoning length heuristic may be brittle.	papers_openalex_llm_xai/10.3389_frai.2025.1616145.pdf	in_scope=yes (medical reasoning/explainability evaluation; overthinking vs correctness).
doi:10.3389/frsus.2023.1210209	10.3389/frsus.2023.1210209		2023	Prospects of artificial intelligence in the development of sustainable separation processes	Frontiers in Sustainability	chemical engineering (separation processes)	process engineers/researchers	perspective on AI for sustainable separation processes	ML + GPT/LLMs (high-level)	process/materials data	Perspective on how AI/ML (including emerging GPT/LLM tools) can support sustainable separation processes via property prediction, material discovery, process optimization, and technique selection; discusses history, benefits, limitations, and future vision.			perspective							Highlights opportunities for data-driven optimization and accelerated materials screening; notes limitations (data, compute, deployment).	AI can contribute to sustainable separations but requires data, validation, and integration with domain expertise.	Not an explainability paper; broad overview.	papers_openalex_llm_xai/10.3389_frsus.2023.1210209.pdf	in_scope=no (domain perspective; not LLM explainability).
doi:10.1609/aiide.v19i1.27502	10.1609/aiide.v19i1.27502		2023	There and Back Again: Extracting Formal Domains for Controllable Neurosymbolic Story Authoring	AIIDE	creative AI / story generation	authors/creative tool researchers	hybrid LM + planner story authoring; extract planning domains from text	GPT-4 (prompted) + narrative planner (PDDL/Glaive)	natural language stories + PDDL domains/plans	Explores hybrid approaches combining language models with narrative planners: uses GPT-4 to extract PDDL story domains/problems from natural language stories with minimal human intervention, and uses logical plans to generate stories that respect planner commitments.	planner-based causal/intentional explanations; controllability and interpretability via symbolic plans		system/prototype demonstration							Shows bidirectional pipeline between natural language stories and formal planning domains; aims for human-centric authoring with controllability.	Neurosymbolic hybridization can improve controllability/explainability vs pure LM story generation.	Not LLM explainability for decision-making; creative-domain specific; limited evaluation.	papers_openalex_llm_xai/10.1609_aiide.v19i1.27502.pdf	in_scope=partial (uses explicit claim about lack of explainability; symbolic plans as interpretability).
doi:10.1038/s41598-025-22784-8	10.1038/s41598-025-22784-8		2025	Leveraging ChatGPT and explainable AI for enhancing clinical decision support	Scientific Reports	clinical decision support (tabular prediction)	clinicians	LLM-based tabular clinical decision making with explanation-informed prompts	LLM (via prompting) + AutoML models + XAI (local explanations)	tabular clinical features	Presents HealthAI-Prompt: adapts LLMs for tabular clinical decision making (diabetes risk) via contextual prompts combining task description, domain knowledge from high-performing AutoML models, and selected local explanations evaluated for fidelity/stability/monotonicity; compares prompt strategies and baselines incl. chain-of-thought.	explanation-informed prompts; selection of local explanations based on fidelity/stability/monotonicity; AutoML-derived insights; CoT baseline		comparative experiments of prompting strategies vs AutoML under diverse data conditions; explanation metric evaluation							Embedding vetted local explanations into prompts helps LLM interpret structured features without fine-tuning and improves transparency; studies impact of prompt choices on performance.	Bridging AutoML + explanation selection + prompting can improve LLM usability for tabular clinical prediction.	Task-specific (diabetes); relies on quality of explanations and prompt design; clinical validity requires further study.	papers_openalex_llm_xai/10.1038_s41598-025-22784-8.pdf	in_scope=yes (clinical LLM explainability on tabular data; uses explicit XAI metrics).
doi:10.1186/s12911-025-03239-6	10.1186/s12911-025-03239-6		2025	A prompt framework for enhancing LLM-based explainability of medical machine learning models: an intensive care unit application	BMC Medical Informatics and Decision Making	clinical ML explainability (ICU)	clinicians	LLM-generated narrative explanations from SHAP outputs	GPT-4 + SHAP (extubation failure model on MIMIC-III)	tabular ICU variables + SHAP values	Proposes and evaluates a structured zero-shot prompting framework to guide GPT-4 in generating consistent, clinically relevant narratives from SHAP values for an ICU extubation failure model; evaluates consistency (entropy/accuracy/fidelity) and clinician survey.	prompted explanation of SHAP; structured 3-step reasoning (risk factors, reconciliation, recommendations) with safety principles		repeat prompting (10 generations per case; 40 cases) + clinician survey	7.0	clinicians				fidelity; entropy; clinician Likert helpfulness/safety	Achieves fidelity 0.783 and low entropy 0.226; clinicians rate explanations helpful (~3.94/5) and safe (~4.21/5) with lower ratings by critical care specialists.	Structured prompting can translate SHAP into more usable clinical narratives; feasibility shown for SHAP-to-LLM pipeline.	Exploratory; small clinician sample; single model/task; risks of hallucination mitigated but not eliminated.	papers_openalex_llm_xai/10.1186_s12911-025-03239-6.pdf	in_scope=yes (LLM-assisted explanation of XAI in clinical setting).
doi:10.34028/iajit/21/2/7	10.34028/iajit/21/2/7		2024	Embedding Search for Quranic Texts based on Large Language Models	The International Arab Journal of Information Technology	semantic search (religious text)	researchers/users	semantic search over Quran verses using embeddings	LLM embeddings (GPT-3.5 mentioned) vs AraT5 baseline	Arabic text embeddings	Investigates semantic search for Quranic texts using LLM embeddings and compares performance against a baseline embedding method across queries of varying semantic complexity; finds LLM embeddings effective, while AraT5 performs better on low-level semantic queries.			retrieval evaluation over query sets with varying semantic levels							LLM embeddings capture deep semantic connections consistently across complexity; suggests fine-tuning LLMs on Arabic corpora for further gains.	Embedding-based semantic search with LLMs is promising for Quranic text retrieval.	Not explainability; task is retrieval; details of metrics/datasets needed for reproducibility.	papers_openalex_llm_xai/10.34028_iajit_21_2_7.pdf	in_scope=no (semantic search; not explainability).
doi:10.3389/fnut.2025.1636980	10.3389/fnut.2025.1636980		2025	Artificial intelligence in personalized nutrition and food manufacturing: a comprehensive review of methods, applications, and future directions	Frontiers in Nutrition	nutrition + food manufacturing	health/nutrition practitioners	review of AI methods for personalized nutrition and food manufacturing	AI/ML (mentions multimodal LLMs as emerging)	multimodal health + food system data	Comprehensive review of AI-driven personalized nutrition (biosensors, ML/RL, CV dietary assessment) and AI in food manufacturing (quality control, predictive maintenance, waste minimization), discussing transparency, privacy, and equitable access challenges.	mentions explainable AI and symbolic extraction for transparency (high-level)		review							AI enables dynamic individualized diet recommendations and smart manufacturing but faces transparency and ethics barriers.	Future work should address explainability, validation, and equitable deployment.	Not LLM explainability-focused.	papers_openalex_llm_xai/10.3389_fnut.2025.1636980.pdf	secondary_literature=yes; in_scope=no (broad nutrition review).
doi:10.1007/s00170-025-15830-2	10.1007/s00170-025-15830-2		2025	Generative AI meets CAD: enhancing engineering design to manufacturing processes with large language models	The International Journal of Advanced Manufacturing Technology	engineering design / CAD automation	engineers/non-expert CAD users	LLM-assisted CAD model generation and refinement	GPT-4o + OpenSCAD + computer vision + feedback loops	text + images + voice -> CAD scripts	Presents a framework (GAD) for LLM-assisted CAD: GPT-4o processes multimodal user inputs (text/voice/images) to generate OpenSCAD code, with syntax checks, self-evaluation and user feedback loops to iteratively refine 3D models and export to manufacturing formats.	human-in-the-loop feedback loops; not focused on explanation		system/framework description with testing/validation loops							Suggests LLMs can lower barriers to CAD and support design-to-manufacturing workflows via iterative refinement.	Generative AI can simplify CAD modeling and enable more accessible design automation.	Not explainability; effectiveness depends on prompt/vision reliability and validation; evaluation details unclear.	papers_openalex_llm_xai/10.1007_s00170-025-15830-2.pdf	in_scope=no (CAD automation; not explainability).
doi:10.37547/tajet/volume06issue07-11	10.37547/tajet/volume06issue07-11		2024	Explainable AI In Software Engineering: Enhancing Developer-AI Collaboration	The American Journal of Engineering and Technology	software engineering (XAI adoption)	software developers	conceptual framework for XAI in software engineering workflows	AI tools for code tasks + explanation engines	code + SE artifacts	Discusses integrating explainable AI into software engineering (code generation/defect prediction/planning) to support a developer-in-the-loop paradigm; proposes modular architecture integrating explanation engines with IDEs/dashboards/CI; includes a brief case study on explainable code review.	XAI for code review/defect prediction (high-level); human-AI dialogue mechanisms (proposed)		conceptual + illustrative case study							Argues transparency improves trust and team learning; proposes future directions like personalization and cross-SDLC integration.	XAI is positioned as essential for reliable AI-assisted development environments.	Low-rigor/non-mainstream venue; unclear empirical evidence.	papers_openalex_llm_xai/10.37547_tajet_volume06issue07-11.pdf	in_scope=partial (XAI framing, but weak evidence/venue).
doi:10.55476/001c.91230	10.55476/001c.91230		2023	Encountering Artificial Intelligence: Ethical and Anthropological Investigations	Dicastery for Culture and Education (Holy See) / Pickwick Publications (edited volume)	ethics / anthropology of AI	ethicists/policymakers	edited volume on ethical and anthropological investigations of AI		conceptual/theological essays	Edited volume collecting theological/ethical reflections on artificial intelligence from Catholic social and moral thought; chapters cover approaches to AI ethics and anthropological questions about AI and society.			edited volume							Normative framing of AI ethics and human responsibility; not an empirical LLM study.	Provides moral-theological perspectives on AI development and use.	Not LLM explainability; not empirical.	papers_openalex_llm_xai/10.55476_001c.91230.pdf	in_scope=no (ethics volume; not LLM explainability).
doi:10.37074/jalt.2023.6.2.33	10.37074/jalt.2023.6.2.33		2023	Educational futures of intelligent synergies between humans, digital twins, avatars, and robots - the iSTAR framework	Journal of Applied Learning & Teaching	education (human-machine collaboration)	teachers/education researchers	framework for human-machine synergy in teaching	AI + digital twins/avatars/robots (framework)	conceptual	Proposes iSTAR framework (Intelligent human-machine Synergy in collaborative teaching) modeling collaboration among humans, digital twins, avatars/agents and robots; introduces DELTA dimensions (design, ethics, learning, teaching, assessments) for safe and responsible implementation.			framework paper							Provides dimensions and ecosystem view for future human-machine teaming in education.	Calls for structured consideration of design/ethics/assessment in AI-augmented teaching.	Not LLM explainability; conceptual.	papers_openalex_llm_xai/10.37074_jalt.2023.6.2.33.pdf	in_scope=no (education framework).
doi:10.1007/s42524-025-4241-9	10.1007/s42524-025-4241-9		2025	Generative artificial intelligence in intelligent transportation systems: A systematic review of applications	Frontiers of Engineering Management	intelligent transportation systems	ITS researchers	systematic review of generative AI (AIGC) applications in ITS	AIGC models (text/image/audio/multimodal)	various	Systematic review of generative AI/AIGC technologies (dialogue & reasoning, prediction & decision making, multimodal generation) and applications across ITS subsystems (road, vehicle, traveler, management), plus discussion of safety/ethics risks.	mentions dialog/reasoning; not explainability focused		systematic review							Summarizes application areas and highlights risks of fake content and trust/ethics issues.	AIGC is increasingly important for ITS but needs safety and governance.	Not LLM explainability-focused.	papers_openalex_llm_xai/10.1007_s42524-025-4241-9.pdf	secondary_literature=yes; in_scope=no.
doi:10.1515/mr-2024-0086	10.1515/mr-2024-0086		2025	The potential of generative AI with prostate-specific membrane antigen (PSMA) PET/CT: challenges and future directions	Medical Review	medical imaging (PSMA PET/CT)	radiologists/clinicians	review of generative AI for PSMA PET/CT challenges	generative models (GAN/VAE/diffusion/LLMs mentioned)	PET/CT imaging	Review of clinical challenges in PSMA-PET imaging for prostate cancer and how generative AI methods may help (image enhancement, lesion detection/segmentation, artifact mitigation, data augmentation), noting limited datasets and domain-specific difficulties.			review							Generative AI shows promise for improving PSMA-PET workflows but is early-stage and constrained by data and artifact/uptake complexities.	Further datasets, validation, and clinically grounded evaluation are needed for PSMA-PET generative AI tools.	Not explainability-focused.	papers_openalex_llm_xai/10.1515_mr-2024-0086.pdf	secondary_literature=yes; in_scope=no.
doi:10.1038/s41597-025-04417-x	10.1038/s41597-025-04417-x		2025	A dataset for evaluating clinical research claims in large language models	Scientific Data	clinical claim verification benchmark	clinical NLP researchers	dataset for evaluating LLMs on clinical research claim verification	LLMs + discriminative baselines (BioBERT etc.)	clinical trial abstracts/claims	Introduces CliniFact, a dataset of clinical research claims derived from clinical trials (interventions, outcomes, p-values) and linked evidence from publications, with labels (evidence/inconclusive/NEI). Evaluates LLMs and discriminative models, finding BioBERT outperforms generative LLMs on claim verification.	benchmarking faithfulness/logic; CoT discussed as reasoning aid with faithfulness concerns		dataset construction + baseline model evaluation						classification accuracy; inter-annotator agreement (kappa 0.85)	CliniFact includes 1,970 instances from 992 trials; BioBERT achieves ~80% accuracy vs Llama3-70B ~54%; highlights hallucination and logical reasoning issues for LLMs.	CliniFact enables domain-grounded evaluation of LLM claim verification in clinical research.	Dataset derived from trials/publications; reasoning evaluation limited to baselines.	papers_openalex_llm_xai/10.1038_s41597-025-04417-x.pdf	in_scope=yes (evaluation benchmark for LLM factuality/claim verification).
